#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
294904:5697,05/23/17 12:09:53,4,0,0,0
294926:5698,05/23/17 14:09:13,11,0,0.000000001,0
294927:5698,05/23/17 14:13:21,87,82,0.000018274,0.000013384
294928:5698,05/23/17 14:46:48,43,31,0.000017286,0.000011679
294929:5698,05/23/17 15:03:13,59,33,0.000022858,0.000010335
294931:5698,05/23/17 15:25:52,43,31,0.000016049,0.000010834
294932:5698,05/23/17 15:42:21,42,30,0.000015225,0.000010334
294933:5698,05/23/17 15:58:25,42,30,0.000014830,0.000009926
294934:5698,05/23/17 16:14:29,40,29,0.000013740,0.000009440
294935:5698,05/23/17 16:29:48,47,34,0.000015706,0.000011127
294936:5698,05/23/17 16:48:03,43,31,0.000014005,0.000009803
294937:5698,05/23/17 17:04:46,50,29,0.000015780,0.000008717
294939:5698,05/23/17 17:23:52,43,28,0.000013227,0.000007779
294940:5698,05/23/17 17:40:15,41,29,0.000012249,0.000008134
294941:5698,05/23/17 17:56:02,19,7,0.000005541,0
294942:5698,05/23/17 18:03:04,9,4,0.000002608,0.000000001
294943:5698,05/23/17 18:06:21,18,5,0.000005150,0.000000022
294944:5698,05/23/17 18:13:07,17,12,0.000002905,0.000000017
294946:5698,05/23/17 18:19:32,6,1,0.000001013,0.000000010
294947:5698,05/23/17 18:21:41,70,30,0.000018893,0.000007523
294949:5698,05/23/17 18:48:30,40,26,0.000008552,0.000005878
294950:5698,05/23/17 19:04:31,41,29,0.000006735,0.000004495
294951:5698,05/23/17 19:20:29,40,29,0.000006617,0.000004353
294952:5698,05/23/17 19:36:00,40,28,0.000006514,0.000004258
294953:5698,05/23/17 19:51:26,39,28,0.000006284,0.000004142
294954:5698,05/23/17 20:06:30,39,28,0.000006199,0.000004110
294955:5698,05/23/17 20:21:28,40,29,0.000006264,0.000004305
294956:5698,05/23/17 20:37:04,41,29,0.000006361,0.000003981
294957:5698,05/23/17 20:52:46,35,23,0.000005380,0.000003247
294958:5698,05/23/17 21:06:07,8,4,0.000001223,0.000000004
294959:5698,05/23/17 21:09:06,11,6,0.000001674,0.000000023
294960:5698,05/23/17 21:13:01,33,20,0.000004973,0.000002825
294961:5698,05/23/17 21:25:31,14,4,0.000002097,0
294962:5698,05/23/17 21:30:58,25,1,0.000003724,0
294963:5698,05/23/17 21:40:24,49,21,0.000007317,0
294966:5698,05/23/17 21:59:21,37,7,0.000005645,0
294967:5698,05/23/17 22:13:36,13,4,0.000002015,0.000000002
294968:5698,05/23/17 22:18:40,30,20,0.000004534,0.000002552
294969:5698,05/23/17 22:30:19,26,7,0.000003932,0.000000010
294970:5698,05/23/17 22:40:26,54,20,0.000007190,0.000002788
294971:5698,05/23/17 23:01:23,23,15,0.000003359,0.000002132
294972:5698,05/23/17 23:10:00,6,6,0.000000866,0.000000856
294985:5699,05/24/17 00:50:35,11,1,0.000001564,0.000000032
294986:5699,05/24/17 01:03:57,58,46,0.000013205,0.000008544
294987:5699,05/24/17 01:26:11,38,26,0.000009338,0.000006035
294988:5699,05/24/17 01:40:51,33,20,0.000007974,0.000004392
294989:5699,05/24/17 01:53:24,57,47,0.000013486,0.000009959
294990:5699,05/24/17 02:15:21,55,49,0.000012692,0.000009220
294991:5699,05/24/17 02:36:42,42,24,0.000009497,0.000004456
294992:5699,05/24/17 02:52:46,19,11,0.000004242,0.000000036
294993:5699,05/24/17 03:00:02,40,34,0.000008776,0.000007211
294994:5699,05/24/17 03:15:22,30,20,0.000006515,0.000003630
294995:5699,05/24/17 03:26:40,44,39,0.000009421,0.000007090
294996:5699,05/24/17 03:43:40,28,17,0.000005914,0.000002720
294997:5699,05/24/17 03:54:20,40,34,0.000008330,0.000006665
294998:5699,05/24/17 04:09:35,38,28,0.000007791,0.000005493
294999:5699,05/24/17 04:24:21,36,31,0.000007281,0.000006089
295000:5699,05/24/17 04:38:15,23,10,0.000004608,0.000001866
295001:5699,05/24/17 04:47:09,48,48,0.000009452,0.000008667
295006:5700,05/24/17 07:43:07,1,0,0,0
295007:5700,05/24/17 07:52:27,5,5,0,0
295008:5700,05/24/17 08:48:46,2,1,0,0
