#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
314090:6545,04/12/18 08:00:05,1,0,0,0
314093:6545,04/12/18 08:09:15,133,130,0.000011342,0.000010353
314094:6545,04/12/18 09:20:24,542,542,0.000059939,0.000058872
314140:6553,04/13/18 04:34:40,14,2,0,0
314141:6553,04/13/18 04:39:49,646,633,0.000077031,0.000075953
314146:6553,04/13/18 08:50:32,155,149,0.000000114,0.000000110
314154:6553,04/13/18 09:50:31,37,31,0.000000014,0.000000012
314155:6553,04/13/18 10:04:54,20,20,0.000000006,0.000000006
314435:6566,04/16/18 20:06:25,16,4,0,0
314436:6566,04/16/18 20:12:31,285,285,0.000017775,0.000016788
314451:6569,04/17/18 06:38:44,60,0,0.000000004,0
314453:6569,04/17/18 07:01:47,41,34,0.000000003,0.000000001
314454:6569,04/17/18 07:17:33,65,50,0.000000004,0.000000003
314455:6569,04/17/18 07:42:34,167,167,0.000022198,0.000021858
314471:6570,04/17/18 10:28:30,17,3,0.000000001,0
314472:6570,04/17/18 10:34:28,89,85,0.000018806,0.000016424
314473:6570,04/17/18 11:08:50,18,13,0.000006490,0.000004340
314474:6570,04/17/18 11:15:37,18,13,0.000006370,0.000004185
314475:6570,04/17/18 11:22:23,18,13,0.000006258,0.000004169
314476:6570,04/17/18 11:29:10,17,12,0.000005811,0.000003899
314477:6570,04/17/18 11:35:47,17,12,0.000005712,0.000003699
314478:6570,04/17/18 11:42:13,17,12,0.000005623,0.000003839
314479:6570,04/17/18 11:48:40,16,12,0.000005215,0.000003714
314480:6570,04/17/18 11:54:40,18,13,0.000005784,0.000003935
314481:6570,04/17/18 12:01:28,18,13,0.000005698,0.000003840
314482:6570,04/17/18 12:08:11,16,12,0.000004992,0.000003650
314483:6570,04/17/18 12:14:12,19,12,0.000005856,0.000003541
314485:6570,04/17/18 12:21:29,18,13,0.000005465,0.000003625
314486:6570,04/17/18 12:28:12,18,13,0.000005393,0.000003588
314487:6570,04/17/18 12:35:09,21,15,0.000006200,0.000004038
314488:6570,04/17/18 12:43:11,19,13,0.000005527,0.000003643
314490:6570,04/17/18 12:50:26,20,13,0.000005726,0.000003394
314491:6570,04/17/18 12:57:56,20,14,0.000005643,0.000003593
314492:6570,04/17/18 13:05:28,27,19,0.000007487,0.000005136
314494:6570,04/17/18 13:15:48,31,22,0.000008430,0.000005842
314495:6570,04/17/18 13:27:28,22,14,0.000005871,0.000003453
314496:6570,04/17/18 13:35:57,24,16,0.000006300,0.000003875
314497:6570,04/17/18 13:45:08,21,12,0.000005437,0.000002939
314498:6570,04/17/18 13:52:56,21,13,0.000005368,0.000002995
314499:6570,04/17/18 14:00:58,21,13,0.000005298,0.000003149
314500:6570,04/17/18 14:09:08,20,12,0.000004982,0.000002837
314501:6570,04/17/18 14:16:39,21,12,0.000005175,0.000002813
314502:6570,04/17/18 14:24:32,21,12,0.000005120,0.000002791
314503:6570,04/17/18 14:32:37,21,13,0.000005048,0.000002820
314504:6570,04/17/18 14:40:25,21,12,0.000005004,0.000002758
314506:6570,04/17/18 14:48:25,25,17,0.000005884,0.000003782
314507:6570,04/17/18 14:58:07,22,13,0.000005108,0.000002864
314508:6570,04/17/18 15:06:37,22,14,0.000005049,0.000002998
314509:6570,04/17/18 15:15:04,20,12,0.000004530,0.000002572
314510:6570,04/17/18 15:22:38,20,12,0.000004478,0.000002540
314511:6570,04/17/18 15:30:11,23,14,0.000005084,0.000002665
314512:6570,04/17/18 15:38:47,20,12,0.000004369,0.000002499
314513:6570,04/17/18 15:46:20,21,12,0.000004536,0.000002435
314515:6570,04/17/18 15:54:12,79,75,0.000016577,0.000015341
314521:6570,04/17/18 16:24:44,56,48,0.000011289,0.000009260
